fare_amount,pickup_datetime,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count,trip_distance_km,pickup_hour,pickup_dayofweek,pickup_month,pickup_day,peak_hour,pickup_day_name
7.5,2015-05-07 19:52:06+00:00,-73.99981689,40.73835373,-73.99951172,40.72321701,1,1.683322752,19,3,5,7,1,Thursday
7.7,2009-07-17 20:04:56+00:00,-73.994355,40.728225,-73.99471,40.750325,1,2.457589884,20,4,7,17,0,Friday
12.9,2009-08-24 21:45:00+00:00,-74.005043,40.74077,-73.962565,40.772647,1,5.03637719,21,0,8,24,0,Monday
5.3,2009-06-26 08:22:21+00:00,-73.976124,40.790844,-73.965316,40.803349,3,1.661683458,8,4,6,26,1,Friday
16,2014-08-28 17:47:00+00:00,-73.925023,40.744085,-73.973082,40.761247,5,4.475449963,17,3,8,28,1,Thursday
4.9,2011-02-12 02:27:09+00:00,-73.969019,40.75591,-73.969019,40.75591,1,0,2,5,2,12,0,Saturday
24.5,2014-10-12 07:04:00+00:00,-73.961447,40.693965,-73.871195,40.774297,5,11.73101488,7,6,10,12,1,Sunday
9.7,2012-02-17 09:32:00+00:00,-73.975187,40.745767,-74.00272,40.743537,1,2.332711009,9,4,2,17,1,Friday
12.5,2012-03-29 19:06:00+00:00,-74.001065,40.741787,-73.96304,40.775012,1,4.889416888,19,3,3,29,1,Thursday
6.5,2015-05-22 17:32:27+00:00,-73.97438812,40.74695206,-73.98858643,40.72980499,1,2.250857622,17,4,5,22,1,Friday
3.3,2011-05-17 14:03:00+00:00,-73.966378,40.80444,-73.96589,40.807133,5,0.302251693,14,1,5,17,0,Tuesday
10.9,2011-06-25 11:19:00+00:00,-73.953352,40.767382,-73.97251,40.796137,1,3.581250827,11,5,6,25,0,Saturday
6.9,2010-04-06 22:20:27+00:00,-73.97337,40.755193,-73.978265,40.766375,1,1.3099499,22,1,4,6,0,Tuesday
9.7,2012-02-21 09:33:00+00:00,-73.990718,40.75192,-73.973053,40.74423,2,1.716277422,9,1,2,21,1,Tuesday
4.9,2011-09-01 09:21:40+00:00,-73.988908,40.756982,-73.981246,40.76005,1,0.729965549,9,3,9,1,1,Thursday
10.5,2011-03-19 23:58:27+00:00,-74.005665,40.741138,-73.97783,40.749338,2,2.515950072,23,5,3,19,0,Saturday
12,2015-03-25 08:58:35+00:00,-73.96253204,40.76718903,-73.97445679,40.75386047,1,1.790319253,8,2,3,25,1,Wednesday
4.9,2009-08-08 00:20:00+00:00,-73.992075,40.719633,-73.985323,40.727405,1,1.034703611,0,5,8,8,0,Saturday
10.5,2014-02-18 14:26:00+00:00,-73.980022,40.74599,-74.003432,40.759667,1,2.490243761,14,1,2,18,0,Tuesday
5,2015-03-03 23:15:03+00:00,-73.98918915,40.72914124,-73.9872818,40.72063446,2,0.959468859,23,1,3,3,0,Tuesday
4.1,2009-11-26 02:58:00+00:00,-74.010798,40.726085,-74.009767,40.737402,2,1.261388025,2,3,11,26,0,Thursday
7.7,2010-09-04 16:12:00+00:00,-73.9943,40.739512,-73.98807,40.724482,2,1.751762582,16,5,9,4,1,Saturday
12.9,2010-05-12 22:32:00+00:00,-73.972987,40.76404,-74.00782,40.714993,5,6.193235947,22,2,5,12,0,Wednesday
9.5,2009-02-12 17:52:18+00:00,-73.986059,40.757159,-73.97613,40.780589,1,2.736188805,17,3,2,12,1,Thursday
5,2014-01-21 06:55:00+00:00,-73.957802,40.776372,-73.957422,40.78287,1,0.723252713,6,1,1,21,0,Tuesday
12,2012-11-21 17:37:19+00:00,-73.993909,40.741551,-73.987874,40.770232,1,3.229439077,17,2,11,21,1,Wednesday
4.9,2009-05-06 20:06:23+00:00,-73.97778,40.763656,-73.989486,40.772966,1,1.429515322,20,2,5,6,0,Wednesday
7.3,2011-12-24 02:52:00+00:00,-73.971075,40.787833,-73.944957,40.784302,5,2.233696226,2,5,12,24,0,Saturday
25.7,2011-05-21 09:00:00+00:00,-73.944815,40.834367,-73.989332,40.72192,4,13.05331214,9,5,5,21,1,Saturday
7.7,2009-02-28 15:54:57+00:00,-74.004184,40.712975,-73.988385,40.725102,1,1.895046543,15,5,2,28,0,Saturday
10.5,2013-02-11 19:09:00+00:00,-73.982085,40.771387,-73.95961,40.769445,1,1.904932709,19,0,2,11,1,Monday
11,2013-09-10 20:50:25+00:00,-73.991186,40.741393,-74.00971,40.716455,2,3.182113429,20,1,9,10,0,Tuesday
39.5,2014-06-04 06:49:00+00:00,-73.78808,40.642187,-73.865042,40.725997,4,11.3561407,6,2,6,4,0,Wednesday
8.1,2009-06-05 05:35:00+00:00,-73.98869,40.751273,-73.95881,40.764643,3,2.923019651,5,4,6,5,0,Friday
5.7,2011-02-19 16:31:00+00:00,-74.010863,40.710813,-74.001205,40.718745,1,1.200212184,16,5,2,19,1,Saturday
6.9,2011-08-31 19:47:00+00:00,-73.968697,40.754998,-73.987302,40.73594,1,2.635787167,19,2,8,31,1,Wednesday
7.7,2010-05-18 21:28:00+00:00,-73.96837,40.759005,-73.979105,40.77757,3,2.253610791,21,1,5,18,0,Tuesday
29,2014-02-13 17:57:00+00:00,-73.9926,40.753172,-73.908508,40.816192,1,9.961496457,17,3,2,13,1,Thursday
15.7,2010-04-01 14:42:00+00:00,-73.97336,40.786952,-73.97281,40.743548,1,4.826526866,14,3,4,1,0,Thursday
9,2014-04-02 14:58:32+00:00,-73.970164,40.765016,-73.962801,40.77478,1,1.25029096,14,2,4,2,0,Wednesday
4.9,2011-02-01 15:25:03+00:00,-73.987139,40.753038,-73.977794,40.751834,1,0.798473125,15,1,2,1,0,Tuesday
5.4,2009-01-10 22:43:36+00:00,-73.994222,40.751229,-73.998331,40.744342,1,0.840394992,22,5,1,10,0,Saturday
3.3,2012-07-12 00:59:02+00:00,-73.982371,40.765501,-73.985248,40.762808,1,0.385198708,0,3,7,12,0,Thursday
8.9,2009-02-19 08:28:42+00:00,-73.977137,40.779272,-73.970457,40.757972,1,2.434342814,8,3,2,19,1,Thursday
17,2014-01-16 14:58:09+00:00,-73.9939,40.751714,-73.958575,40.76039,1,3.127905213,14,3,1,16,0,Thursday
12,2015-01-04 09:17:47+00:00,-73.97952271,40.72731018,-73.98487854,40.76065063,1,3.734645614,9,6,1,4,1,Sunday
56.8,2013-01-03 22:24:41+00:00,-73.993498,40.764686,-73.993498,40.764686,1,0,22,3,1,3,0,Thursday
13.5,2013-05-23 10:57:00+00:00,-73.962043,40.805372,-73.988447,40.77014,1,4.504354287,10,3,5,23,0,Thursday
7.7,2009-10-03 18:25:00+00:00,-73.983052,40.776055,-73.974093,40.763797,1,1.557898698,18,5,10,3,1,Saturday
13.3,2011-08-15 13:55:53+00:00,-73.9859,40.7277,-73.9825,40.7719,1,4.92315381,13,0,8,15,0,Monday
14.9,2012-05-25 03:19:00+00:00,-73.997385,40.720822,-73.955628,40.782252,1,7.683147456,3,4,5,25,0,Friday
16.9,2009-04-09 11:27:00+00:00,-73.986593,40.759143,-74.001767,40.72012,1,4.523566835,11,3,4,9,0,Thursday
11,2014-11-13 20:12:25+00:00,-73.958903,40.815239,-73.980862,40.78261,1,4.07189059,20,3,11,13,0,Thursday
6.5,2010-03-05 22:41:05+00:00,-73.990305,40.756175,-74.003678,40.759173,1,1.174672086,22,4,3,5,0,Friday
6.5,2009-01-09 14:24:24+00:00,-73.968111,40.765625,-73.980863,40.75916,1,1.292380193,14,4,1,9,0,Friday
5.3,2009-07-10 01:01:00+00:00,-73.98973,40.734507,-74.001847,40.740387,1,1.212319845,1,4,7,10,0,Friday
4.1,2009-02-02 16:58:00+00:00,-73.954332,40.77406,-73.952558,40.766325,2,0.872970469,16,0,2,2,1,Monday
9,2015-06-17 17:52:03+00:00,-73.97213745,40.74988937,-73.9818573,40.73242569,1,2.107472695,17,2,6,17,1,Wednesday
17.3,2011-10-30 11:34:39+00:00,-73.975307,40.757499,-74.010737,40.711715,3,5.901635465,11,6,10,30,0,Sunday
6.5,2011-06-22 06:20:00+00:00,-73.997925,40.749805,-74.003443,40.754337,2,0.685563137,6,2,6,22,0,Wednesday
20,2013-10-19 20:21:00+00:00,-73.977453,40.785215,-73.98595,40.734955,1,5.634292439,20,5,10,19,0,Saturday
13,2014-08-22 14:58:01+00:00,-73.993619,40.749808,-73.992512,40.756546,2,0.75501165,14,4,8,22,0,Friday
5.5,2013-01-02 19:16:00+00:00,-73.968242,40.762112,-73.979687,40.765432,1,1.032173477,19,2,1,2,1,Wednesday
15.5,2012-12-22 15:35:00+00:00,-73.989945,40.73399,-73.95831,40.780797,1,5.847115069,15,5,12,22,0,Saturday
8.5,2015-02-16 11:19:55+00:00,-73.99765015,40.73622131,-73.98181152,40.76134872,2,3.096260424,11,0,2,16,0,Monday
7.5,2013-02-01 20:56:22+00:00,-73.997933,40.756223,-73.981529,40.742386,1,2.068041832,20,4,2,1,0,Friday
6.9,2009-05-20 10:23:00+00:00,-73.949458,40.773348,-73.964993,40.76659,5,1.508695806,10,2,5,20,0,Wednesday
21,2015-05-17 14:56:39+00:00,-73.95431519,40.76970291,-73.99013519,40.75743866,1,3.31068374,14,6,5,17,0,Sunday
4.1,2012-06-28 20:10:44+00:00,-73.994554,40.721011,-73.989079,40.722964,2,0.509945493,20,3,6,28,0,Thursday
5.7,2011-12-10 01:43:00+00:00,-73.990968,40.72757,-73.99137,40.74472,1,1.907293758,1,5,12,10,0,Saturday
19.3,2009-03-11 09:31:02+00:00,-74.013173,40.704148,-73.984285,40.754962,1,6.152295773,9,2,3,11,1,Wednesday
17.3,2010-12-11 04:25:12+00:00,-73.995721,40.767201,-73.951222,40.723918,4,6.100532473,4,5,12,11,0,Saturday
12,2014-04-15 09:19:00+00:00,-74.010142,40.719717,-74.013625,40.702315,1,1.957156969,9,1,4,15,1,Tuesday
11.3,2012-04-05 20:21:06+00:00,-73.981496,40.768334,-73.956104,40.804763,1,4.580221956,20,3,4,5,0,Thursday
9.7,2010-04-25 20:11:00+00:00,-73.94984,40.796042,-73.962738,40.759112,3,4.247616454,20,6,4,25,0,Sunday
4.9,2012-05-02 19:12:40+00:00,-73.986989,40.7208,-73.976607,40.722857,1,0.904326597,19,2,5,2,1,Wednesday
11,2015-05-28 13:31:03+00:00,-73.96671295,40.80403519,-73.93840027,40.79726791,1,2.499145583,13,3,5,28,0,Thursday
3.5,2015-05-21 01:35:16+00:00,-73.97534943,40.752491,-73.97386169,40.74888992,2,0.419574264,1,3,5,21,0,Thursday
8.1,2010-10-16 21:23:00+00:00,-73.982543,40.731653,-73.954875,40.768787,5,4.741476721,21,5,10,16,0,Saturday
